"","accession","year","city","trap","state","country","zone","date","host"
"1","CSU8565",2015,"FC","FC-088GR","CO","USA","SE",2015-08-25,"Mosquito-Culex"
"2","CSU16754",2021,"LV","LV-020","CO","USA","LV",NA,NA
"3","CSU16760",2021,"BE","LC-001","CO","USA","LC",NA,NA
"4","CSU16763",2021,"BE","LC-053","CO","USA","LC",NA,NA
"5","CSU16765",2021,"FC","FC-052","CO","USA","NW",NA,NA
"6","CSU16773",2021,"FC","FC-060","CO","USA","SW",NA,NA
"7","CSU16779",2021,"FC","FC-063GR","CO","USA","NW",NA,NA
"8","CSU16780",2021,"FC","FC-063GR","CO","USA","NW",NA,NA
"9","CSU16793",2021,"FC","FC-029GR","CO","USA","SE",NA,NA
"10","CSU16795",2021,"FC","FC-068","CO","USA","SW",NA,NA
"11","CSU16802",2021,"FC","FC-089GR","CO","USA","SW",NA,NA
"12","CSU16805",2021,"FC","FC-089GR","CO","USA","SW",NA,NA
"13","BOU00045",2021,"BC","BC-15","CO","USA","BC",NA,NA
"14","CSU16816",2021,"FC","FC-034","CO","USA","NE",NA,NA
"15","CSU16817",2021,"FC","FC-069","CO","USA","NE",NA,NA
"16","CSU16821",2021,"FC","FC-040","CO","USA","NE",NA,NA
"17","CSU16831",2021,"FC","FC-038","CO","USA","NE",NA,NA
"18","CSU16832",2021,"FC","FC-038","CO","USA","NE",NA,NA
"19","CSU16844",2021,"LV","LV-089","CO","USA","LV",NA,NA
"20","CSU16846",2021,"LV","LV-104","CO","USA","LV",NA,NA
"21","CSU16876",2021,"FC","FC-088GR","CO","USA","SE",NA,NA
"22","CSU16879",2021,"LV","LV-020","CO","USA","LV",NA,NA
"23","CSU16900",2021,"FC","FC-090GR","CO","USA","NW",NA,NA
"24","CSU16901",2021,"FC","FC-090GR","CO","USA","NW",NA,NA
"25","CSU16902",2021,"FC","FC-090GR","CO","USA","NW",NA,NA
"26","CSU16913",2021,"FC","FC-001","CO","USA","SW",NA,NA
"27","CSU16920",2021,"FC","FC-029GR","CO","USA","SE",NA,NA
"28","CSU16921",2021,"FC","FC-029GR","CO","USA","SE",NA,NA
"29","CSU16922",2021,"FC","FC-029GR","CO","USA","SE",NA,NA
"30","CSU16923",2021,"FC","FC-029GR","CO","USA","SE",NA,NA
"31","CSU16924",2021,"FC","FC-029GR","CO","USA","SE",NA,NA
"32","CSU16937",2021,"FC","FC-089GR","CO","USA","SW",NA,NA
"33","CSU16938",2021,"FC","FC-089GR","CO","USA","SW",NA,NA
"34","CSU16939",2021,"FC","FC-089GR","CO","USA","SW",NA,NA
"35","CSU16940",2021,"FC","FC-089GR","CO","USA","SW",NA,NA
"36","CSU16942",2021,"LV","LV-069","CO","USA","LV",NA,NA
"37","CSU16946",2021,"FC","FC-034","CO","USA","NE",NA,NA
"38","CSU16947",2021,"FC","FC-040GR","CO","USA","NE",NA,NA
"39","CSU16948",2021,"FC","FC-040GR","CO","USA","NE",NA,NA
"40","CSU16953",2021,"FC","FC-092GR","CO","USA","NE",NA,NA
"41","CSU16972",2021,"FC","FC-014","CO","USA","NE",NA,NA
"42","CSU16973",2021,"FC","FC-014","CO","USA","NE",NA,NA
"43","CSU16977",2021,"FC","FC-014","CO","USA","NE",NA,NA
"44","CSU17003",2021,"FC","FC-075GR","CO","USA","SE",NA,NA
"45","CSU17006",2021,"FC","FC-088GR","CO","USA","SE",NA,NA
"46","CSU17007",2021,"FC","FC-088GR","CO","USA","SE",NA,NA
"47","CSU17020",2021,"FC","FC-011","CO","USA","NW",NA,NA
"48","CSU17024",2021,"FC","FC-063GR","CO","USA","NW",NA,NA
"49","CSU17025",2021,"FC","FC-063GR","CO","USA","NW",NA,NA
"50","CSU17031",2021,"BE","LC-054","CO","USA","LC",NA,NA
"51","CSU17032",2021,"LV","LV-020","CO","USA","LV",NA,NA
"52","CSU17035",2021,"BE","LC-001","CO","USA","LC",NA,NA
"53","CSU17041",2021,"FC","FC-001","CO","USA","SW",NA,NA
"54","CSU17044",2021,"FC","FC-029GR","CO","USA","SE",NA,NA
"55","CSU17054",2021,"LV","LV-095","CO","USA","LV",NA,NA
"56","CSU17058",2021,"FC","FC-075","CO","USA","SE",NA,NA
"57","CSU17060",2021,"FC","FC-075GR","CO","USA","SE",NA,NA
"58","CSU17065",2021,"FC","FC-088GR","CO","USA","SE",NA,NA
"59","CSU17077",2021,"FC","FC-046","CO","USA","SE",NA,NA
"60","CSU17086",2021,"LV","LV-089","CO","USA","LV",NA,NA
"61","CSU17098",2021,"FC","FC-091GR","CO","USA","NE",NA,NA
"62","CSU17119",2021,"FC","FC-060","CO","USA","SW",NA,NA
"63","CSU17124",2021,"FC","FC-063GR","CO","USA","NW",NA,NA
"64","CSU17134",2021,"BE","LC-053","CO","USA","LC",NA,NA
"65","CSU17142",2021,"FC","FC-029GR","CO","USA","SE",NA,NA
"66","CSU17143",2021,"FC","FC-029GR","CO","USA","SE",NA,NA
"67","CSU17149",2021,"FC","FC-089GR","CO","USA","SW",NA,NA
"68","CSU17153",2021,"FC","FC-088GR","CO","USA","SE",NA,NA
"69","CSU17168",2021,"FC","FC-050","CO","USA","SE",NA,NA
"70","CSU17199",2021,"LV","LV-089","CO","USA","LV",NA,NA
"71","CSU17209",2021,"FC","FC-063GR","CO","USA","NW",NA,NA
"72","CSU17216",2021,"FC","FC-029GR","CO","USA","SE",NA,NA
"73","CSU17221",2021,"FC","FC-089GR","CO","USA","SW",NA,NA
